product_id,product_name,discounted_price,actual_price,discount_percentage,rating,rating_count,rating_weighted,category_1,category_2,rating_score,difference_price,neg,neu,pos,compound
B08H673XKN,"Morphy Richards Icon Superb 750W Mixer Grinder, 4 Jars, Silver and Black",3249.0,7795.0,0.58,4.2,4664.0,19588.8,Home & Kitchen,Kitchen & Home Appliances,Satisfied,4546.0,0.086,0.521,0.393,0.9955
B07DXRGWDJ,"Philips Handheld Garment Steamer GC360/30 - Vertical & Horizontal Steaming, 1200 Watt, up to 22g/min",4280.0,5995.0,0.29,3.8,2112.0,8025.599999999999,Home & Kitchen,Kitchen & Home Appliances,Neutral,1715.0,0.059,0.714,0.227,0.9831
B08243SKCK,"Vedini Transparent Empty Refillable Reusable Fine Mist Spray Bottle for Perfume, Travel with DIY Sticker Set ( 100ml, Pack of 4)",189.0,299.0,0.37,4.2,2737.0,11495.4,Home & Kitchen,Home Storage & Organization,Satisfied,110.0,0.009,0.563,0.427,0.9942
B09SPTNG58,"Crompton Sea Sapphira 1200 mm Ultra High Speed 3 Blade Ceiling Fan (Lustre Brown, Pack of 1)",1449.0,2349.0,0.38,3.9,9019.0,35174.1,Home & Kitchen,"Heating, Cooling & Air Quality",Neutral,900.0,0.083,0.598,0.32,0.9666
B083J64CBB,"Kuber Industries Waterproof Canvas Laundry Bag/Hamper|Metalic Printed With Handles|Foldable Bin & 45 Liter Capicity|Size 37 x 37 x 46, Pack of 1 (Brown)",199.0,499.0,0.6,4.0,10234.0,40936.0,Home & Kitchen,Home Storage & Organization,Satisfied,300.0,0.053,0.552,0.394,0.9866
B08JV91JTK,JM SELLER 180 W 2021 Edition Electric Beater High Speed Hand Mixer Egg Beater for Cake Making and Whipping Cream with 7 Speed Control (White) with Free Spatula and Oil Brush,474.0,1299.0,0.64,4.1,550.0,2255.0,Home & Kitchen,Kitchen & Home Appliances,Satisfied,825.0,0.0,0.618,0.382,0.9941
B0BQ3K23Y1,"Oratech Coffee Frother electric, milk frother electric, coffee beater, cappuccino maker, Coffee Foamer, Mocktail Mixer, Coffee Foam Maker, coffee whisker electric, Froth Maker, coffee stirrers electric, coffee frothers, Coffee Blender, (6 Month Warranty) (Multicolour)",279.0,499.0,0.44,4.8,28.0,134.4,Home & Kitchen,Kitchen & Home Appliances,Satisfied,220.0,0.008,0.546,0.446,0.9993
B09MT94QLL,"Havells Glaze 74W Pearl Ivory Gold Ceiling Fan, Sweep: 1200 Mm",1999.0,4775.0,0.58,4.2,1353.0,5682.6,Home & Kitchen,"Heating, Cooling & Air Quality",Satisfied,2776.0,0.045,0.481,0.475,0.9869
B07NKNBTT3,"Pick Ur Needs® Lint Remover for Clothes High Range Rechargeable Lint Shaver for All Types of Clothes, Fabrics, Blanket with 1 Extra Blade Multicolor (Rechargeable)",799.0,1230.0,0.35,4.1,2138.0,8765.8,Home & Kitchen,Kitchen & Home Appliances,Satisfied,431.0,0.044,0.534,0.422,0.9961
B09KPXTZXN,"Rico Japanese Technology Rechargeable Wireless Electric Chopper with Replacement Warranty - Stainless Steel Blades, One Touch Operation, 10 Seconds Chopping, Mincing Vegetable, Meat - 250 ML, 30 Watts",949.0,1999.0,0.53,4.0,1679.0,6716.0,Home & Kitchen,Kitchen & Home Appliances,Satisfied,1050.0,0.0,0.42,0.58,0.9959
